Date,Closing Price (USD)
5/25/17,2460.95375
5/26/17,2232.2875
5/27/17,2234.83374
5/28/17,2195.785
5/29/17,2315.73625
5/30/17,2170.98124
5/31/17,2402.125
6/1/17,2477.1725
6/2/17,2475.2975
6/3/17,2526.31125
6/4/17,2605.125
6/5/17,2855.03
6/6/17,2900.8525
6/7/17,2737.9025
6/8/17,2826.03875
6/9/17,2846.00625
6/10/17,2910.33625
6/11/17,3007.0125
6/12/17,2697.0775
6/13/17,2780.1825
6/14/17,2518.54875
6/15/17,2438.61749
6/16/17,2520.78375
6/17/17,2680.1025
6/18/17,2611.67999
6/19/17,2667.5475
6/20/17,2805.0975
6/21/17,2702.00375
6/22/17,2763.29125
6/23/17,2740.5925
6/24/17,2598.15875
6/25/17,2630.59499
6/26/17,2513.42999
6/27/17,2556.1675
6/28/17,2591.2675
6/29/17,2547.3225
6/30/17,2479.05499
7/1/17,2424.69875
7/2/17,2513.74125
7/3/17,2640.06125
7/4/17,2588.67875
7/5/17,2634.17375
7/6/17,2598.57
7/7/17,2514.3625
7/8/17,2586.0425
7/9/17,2524.12624
7/10/17,2352.265
7/11/17,2292.91375
7/12/17,2437.55375
7/13/17,2337.67875
7/14/17,2109.37375
7/15/17,2045.5725
7/16/17,1986.9425
7/17/17,2189.23999
7/18/17,2354.8925
7/19/17,2349.355
7/20/17,2740.56875
7/21/17,2738.775
7/22/17,2831.67875
7/23/17,2772.3675
7/24/17,2768.8025
7/25/17,2540.20874
7/26/17,2570.195
7/27/17,2699.72125
7/28/17,2719.69
7/29/17,2714.70375
7/30/17,2718.6175
7/31/17,2867.65375
8/1/17,2739.70875
8/2/17,2740.07125
8/3/17,2811.71
8/4/17,3123.41125
8/5/17,3254.71
8/6/17,3274.6375
8/7/17,3474.7625
8/8/17,3416.185
8/9/17,3364.41125
8/10/17,3451.8525
8/11/17,3705.43
8/12/17,4104.015
8/13/17,4036.7575
8/14/17,4462.67625
8/15/17,4118.9025
8/16/17,4322.42125
8/17/17,4311.685
8/18/17,4180.23875
8/19/17,4139.38125
8/20/17,4110.94125
8/21/17,3911.27625
8/22/17,4162.79249
8/23/17,4178.75625
8/24/17,4396.03125
8/25/17,4359.9025
8/26/17,4381.39625
8/27/17,4340.46
8/28/17,4442.6575
8/29/17,4664.64375
8/30/17,4676.1425
8/31/17,4783.17
9/1/17,4864.285
9/2/17,4672.56875
9/3/17,4593.1825
9/4/17,4160.535
9/5/17,4517.57
9/6/17,4543.1025
9/7/17,4628.6025
9/8/17,4280.975
9/9/17,4194.21875
9/10/17,4307.82625
9/11/17,4295.76124
9/12/17,3944.58375
9/13/17,3817.0575
9/14/17,3358.10875
9/15/17,3772.68375
9/16/17,3608.595
9/17/17,3764.6175
9/18/17,3976.3875
9/19/17,3863.18625
9/20/17,3827.685
9/21/17,3690.99125
9/22/17,3612.1625
9/23/17,3772.8475
9/24/17,3753.435
9/25/17,3920.99125
9/26/17,3939.515
9/27/17,4220.28
9/28/17,4062.20375
9/29/17,4207.825
9/30/17,4300.55125
10/1/17,4414.1775
10/2/17,4424.4725
10/3/17,4307.555
10/4/17,4186.78374
10/5/17,4325.23625
10/6/17,4370.16875
10/7/17,4446.17249
10/8/17,4624.34875
10/9/17,4789.30125
10/10/17,4741.70875
10/11/17,4858.60499
10/12/17,5728.5475
10/13/17,5666.97875
10/14/17,5779.07375
10/15/17,5607.01
10/16/17,5643.55375
10/17/17,5495.03875
10/18/17,5627.08625
10/19/17,5686.52625
10/20/17,6098.115
10/21/17,5949.07875
10/22/17,5969.795
10/23/17,5649.005
10/24/17,5550.85875
10/25/17,5776.87875
10/26/17,5923.70625
10/27/17,5737.1025
10/28/17,5741.7225
10/29/17,6151.325
10/30/17,6130.56375
10/31/17,6424.515
11/1/17,6879.365
11/2/17,7199.2375
11/3/17,7210.46875
11/4/17,7376.7425
11/5/17,7231.93
11/6/17,7123.89375
11/7/17,7356.50625
11/8/17,7342.82375
11/9/17,7250.77
11/10/17,6773.695
11/11/17,6075.30125
11/12/17,5969.13
11/13/17,6666.27125
11/14/17,6867.42625
11/15/17,7259.3
11/16/17,7924.1825
11/17/17,7598.2775
11/18/17,7787.45625
11/19/17,7954.7675
11/20/17,7879.06
11/21/17,8150.6325
11/22/17,8208.75375
11/23/17,8094.445
11/24/17,8190.87125
11/25/17,8851.305
11/26/17,9573.9675
11/27/17,9713.09625
11/28/17,10295.6225
11/29/17,10542.6625
11/30/17,9706.10375
12/1/17,10923.20125
12/2/17,10973.54375
12/3/17,11382.20875
12/4/17,11597.23125
12/5/17,12230.365
12/6/17,13734.52
12/7/17,16403.42125
12/8/17,15732.1
12/9/17,13152.52875
12/10/17,16299.2975
12/11/17,16374.8975
12/12/17,16678.28749
12/13/17,16246.13875
12/14/17,17221.65125
12/15/17,17436.5975
12/16/17,19166.97874
12/17/17,18640.2625
12/18/17,18984.7675
12/19/17,16862.57125
12/20/17,16925.0175
12/21/17,14182.46499
12/22/17,14694.5825
12/23/17,14103.21875
12/24/17,13387.34875
12/25/17,14652.3675
12/26/17,15846.07375
12/27/17,14362.40375
12/28/17,14867.5725
12/29/17,13643.695
12/30/17,13062.145
12/31/17,13439.4175
1/1/18,13337.62125
1/2/18,14881.545
1/3/18,15104.45
1/4/18,14953.8525
1/5/18,16576.69625
1/6/18,16735.10625
1/7/18,15632.41125
1/8/18,15242.93625
1/9/18,14122.825
1/10/18,13269.5975
1/11/18,13633.36375
1/12/18,14165.90625
1/13/18,14217.3625
1/14/18,13519.92625
1/15/18,12915.11625
1/16/18,10870.16875
1/17/18,11340.65
1/18/18,11137.36875
1/19/18,11742.94125
1/20/18,12486.06625
1/21/18,11508.62
1/22/18,10872.9025
1/23/18,10830.9275
1/24/18,11629.375
1/25/18,11524.345
1/26/18,11005.615
1/27/18,11452.23
1/28/18,11412.79375
1/29/18,10917.15125
1/30/18,9914.4725
1/31/18,9970.30875
2/1/18,8715.59499
2/2/18,8285.50124
2/3/18,9192.045
2/4/18,8136.39
2/5/18,6332.37
2/6/18,7270.5075
2/7/18,7987.28125
2/8/18,8086.7725
2/9/18,8930.13875
2/10/18,8045.44
2/11/18,8478.92499
2/12/18,8766.8525
2/13/18,8693.2525
2/14/18,9659.2875
2/15/18,10110.83875
2/16/18,10474.77125
2/17/18,10855.9375
2/18/18,10537.00625
2/19/18,11416.03875
2/20/18,10928.02
2/21/18,10727.9525
2/22/18,9809.72125
2/23/18,10412.36875
2/24/18,9585.285
